model,method,train_accuracy,test_accuracy,accuracy_gap,train_f1_macro,test_f1_macro,f1_gap,overfitting
DummyClassifier,train_test,0.16092874299439552,0.16289592760180996,-0.001967184607414435,0.1386206896551724,0.14007782101167315,-0.001457131356500746,NON
DummyClassifier,cross_validation,0.8387755102040817,0.8387755102040817,0.0,0.45615979450886,0.4561593756418156,4.188670444382758e-07,NON
RandomForestClassifier,train_test,0.9855884707766213,0.8642533936651584,0.12133507711146285,0.9723051679280984,0.661734693877551,0.3105704740505474,OUI
RandomForestClassifier,cross_validation,0.938265306122449,0.8476190476190476,0.09064625850340136,0.863762714041228,0.568336640379128,0.29542607366209994,OUI
XGBClassifier,train_test,0.8502802241793435,0.7285067873303167,0.12177343684902675,0.7763828212588693,0.5946441672780631,0.18173865398080613,OUI
XGBClassifier,cross_validation,0.8903061224489797,0.8503401360544217,0.03996598639455795,0.7285036816235546,0.6138021952276026,0.11470148639595201,NON
CatBoostClassifier,train_test,0.9575660528422738,0.7828054298642534,0.17476062297802042,0.9287871208576054,0.6104582843713279,0.3183288364862775,OUI
CatBoostClassifier,cross_validation,0.9489795918367345,0.8448979591836734,0.10408163265306114,0.8912117531883629,0.6050671145570801,0.2861446386312828,OUI
