model,method,train_accuracy,test_accuracy,accuracy_gap,train_f1_macro,test_f1_macro,f1_gap,overfitting,train_precision_macro,test_precision_macro,train_recall_macro,test_recall_macro,train_accuracy_std,train_f1_macro_std,test_accuracy_std,test_f1_macro_std,confusion_matrix
DummyClassifier,train_test,0.8390712570056045,0.8371040723981901,0.0019671846074144073,0.456247279059643,0.45566502463054187,0.0005822544291011478,NON,0.41953562850280224,0.41855203619909503,0.5,0.5,,,,,"[[185, 0], [36, 0]]"
DummyClassifier,cross_validation,0.8387755102040817,0.8387755102040817,0.0,0.45615979450886,0.4561593756418156,4.188670444382758e-07,NON,0.41938775510204085,0.41938775510204085,0.5,0.5,0.00041657988822844575,0.00012319717054135273,0.0016663195529137286,0.0004930170359267915,N/A
RandomForestClassifier,train_test,0.9095276220976781,0.8552036199095022,0.0543240021881759,0.7789210856499285,0.579047619047619,0.19987346660230942,OUI,0.9513350559862188,0.8445736434108527,0.7189054726368159,0.5667417417417417,,,,,"[[184, 1], [31, 5]]"
RandomForestClassifier,cross_validation,0.9132653061224489,0.8476190476190476,0.06564625850340133,0.7912641572901018,0.5681702127904344,0.22309394449966735,OUI,0.9531503056253786,0.7446291956182368,0.7310247841826788,0.5599413074520959,0.0039884487753600465,0.012319329176033069,0.002545345161070664,0.020715431041087664,N/A
XGBClassifier,train_test,0.8398718975180144,0.8371040723981901,0.0027678251198243187,0.46139648808086386,0.45566502463054187,0.005731463450321994,NON,0.9198717948717949,0.41855203619909503,0.5024875621890548,0.5,,,,,"[[185, 0], [36, 0]]"
XGBClassifier,cross_validation,0.8409863945578231,0.8408163265306122,0.0001700680272108679,0.4712198707874052,0.4689964792466773,0.0022233915407278704,NON,0.8953752783154562,0.7202456409184834,0.5072810276281721,0.5062943262411348,0.0005378023231578707,0.003914141173209786,0.0013605442176870763,0.010166226285072135,N/A
CatBoostClassifier,train_test,0.9943955164131305,0.8506787330316742,0.14371678338145633,0.989474951395535,0.6342710997442456,0.3552038516512894,OUI,0.9966824644549763,0.7344660194174757,0.9825870646766169,0.6087837837837837,,,,,"[[179, 6], [27, 9]]"
CatBoostClassifier,cross_validation,0.9965986394557824,0.8380952380952381,0.1585034013605443,0.9936535702003886,0.6084702163050103,0.3851833538953783,OUI,0.9979811207723948,0.6882299897619303,0.9894486215538848,0.5918925042037052,0.0007605673392856684,0.0014356859689191336,0.007326754839638789,0.024340626389655323,N/A
