model,class,precision,recall,f1-score,support
DummyClassifier,False,0.8371040723981901,1.0,0.9113300492610837,185.0
DummyClassifier,True,0.0,0.0,0.0,36.0
RandomForestClassifier,False,0.8558139534883721,0.9945945945945946,0.92,185.0
RandomForestClassifier,True,0.8333333333333334,0.1388888888888889,0.23809523809523808,36.0
XGBClassifier,False,0.8371040723981901,1.0,0.9113300492610837,185.0
XGBClassifier,True,0.0,0.0,0.0,36.0
CatBoostClassifier,False,0.8689320388349514,0.9675675675675676,0.9156010230179028,185.0
CatBoostClassifier,True,0.6,0.25,0.35294117647058826,36.0
