model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_strategy,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_learning_rate,param_reg_lambda,param_subsample,param_depth,param_iterations,param_l2_leaf_reg
XGBClassifier,0.014215787251790365,0.0033796931995914298,0.0031407674153645835,3.8825074542385165e-05,,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 1.0}",0.5988149744142203,0.589022510021585,0.6438953488372092,0.6105776110910048,0.023895980500409086,16,0.8079698539802167,0.8487736882522283,0.8192419825072886,0.8253285082465779,0.017205087803819744,5,,,50.0,0.1,2.0,1.0,,,
XGBClassifier,0.02840566635131836,0.004793002967418408,0.004430055618286133,0.0007238256390864623,,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",0.5565849717209803,0.6192685154313382,0.6967930029154519,0.6242154966892568,0.057346476035481764,12,0.9420295446142966,0.9603715170278637,0.9411931605088852,0.9478647407170152,0.008850215622990888,5,,,100.0,0.1,1.0,0.8,,,
XGBClassifier,0.026703357696533203,0.004642801632772016,0.0046498775482177734,0.0018840794054982054,,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 1.0}",0.5866666666666667,0.6058764387220696,0.664700850853104,0.6190813187472801,0.03319749104747586,15,0.9388574770910509,0.957748845289383,0.9360795222922667,0.9442286148909002,0.009627278284024193,5,,,100.0,0.1,1.0,1.0,,,
XGBClassifier,0.031590779622395836,0.005964264092012715,0.004509687423706055,0.0015559022692817497,,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 0.8}",0.6056663203548871,0.6176413211482765,0.6913759689922481,0.6382278701651373,0.03789802517020884,5,0.9195697857201952,0.9416151039187688,0.9195697857201952,0.9269182251197198,0.01039226266108439,5,,,100.0,0.1,2.0,0.8,,,
XGBClassifier,0.022564013799031574,0.00267967720160585,0.0033773581186930337,0.00011503300443124292,,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 1.0}",0.6133333333333333,0.5964147286821706,0.6618075801749271,0.6238518807301436,0.027713247567335463,13,0.8926145079991233,0.94435267396242,0.9048287024548152,0.9139319614721195,0.02208108463313499,5,,,100.0,0.1,2.0,1.0,,,
CatBoostClassifier,0.08394193649291992,0.0051520387316182905,0.0034472147623697915,0.00040201559548840124,,"{'depth': 4, 'iterations': 50, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.4563106796116505,0.4563106796116505,0.45555555555555555,0.45605897159295217,0.00035596889380122375,15,0.4953996792436904,0.45593337959750174,0.4563106796116505,0.46921457948428086,0.018516302292535623,,,,,0.01,,,4.0,50.0,1.0
CatBoostClassifier,0.07928848266601562,0.005040650730402898,0.004239718119303386,0.0013730512561678575,,"{'depth': 4, 'iterations': 50, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.55439955301235,0.6050309221040928,0.6671891327063741,0.6088732026076057,0.04612623737447348,8,0.695068107895558,0.7163005974922159,0.7017699077220292,0.7043795377032677,0.008862365376402271,,,,,0.1,,,4.0,50.0,1.0
CatBoostClassifier,0.08319711685180664,0.005686719515786441,0.002638578414916992,0.0007464544435073262,,"{'depth': 4, 'iterations': 50, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",0.4563106796116505,0.4563106796116505,0.45555555555555555,0.45605897159295217,0.00035596889380122375,15,0.4640625,0.45593337959750174,0.4563106796116505,0.45876885306971743,0.003746341521363367,,,,,0.01,,,4.0,50.0,3.0
CatBoostClassifier,0.04287163416544596,0.027553525572628315,0.002908627192179362,0.00030193033238356957,,"{'depth': 4, 'iterations': 50, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.5971069661210506,0.631524266561124,0.6473645632038383,0.6253319319620043,0.020979597580737783,7,0.6883663080690867,0.7079121090724902,0.6764483782027642,0.690908931781447,0.01297022979923978,,,,,0.1,,,4.0,50.0,3.0
CatBoostClassifier,0.04968857765197754,0.0069515439830636315,0.0026911099751790366,0.0004331644287109759,,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.4563106796116505,0.4883492029528191,0.47157376698405906,0.47207788318284294,0.013084528887890414,13,0.5381989719630873,0.4720709364276441,0.4883492029528191,0.4995397037811835,0.02813242201371256,,,,,0.01,,,4.0,100.0,1.0
