model,method,train_accuracy,test_accuracy,accuracy_gap,train_f1_macro,test_f1_macro,f1_gap,overfitting,train_precision_macro,test_precision_macro,train_recall_macro,test_recall_macro,train_accuracy_std,train_f1_macro_std,test_accuracy_std,test_f1_macro_std,confusion_matrix
DummyClassifier,train_test,0.16,0.16,-0.0,0.14,0.14,-0.0,NON,0.08,0.08,0.5,0.5,,,,,"[[0, 185], [0, 36]]"
DummyClassifier,cross_validation,0.84,0.84,0.0,0.46,0.46,0.0,NON,0.42,0.42,0.5,0.5,0.0,0.0,0.0,0.0,N/A
RandomForestClassifier,train_test,1.0,0.86,0.14,1.0,0.62,0.38,OUI,1.0,0.82,1.0,0.59,,,,,"[[183, 2], [29, 7]]"
RandomForestClassifier,cross_validation,1.0,0.85,0.15,1.0,0.61,0.39,OUI,1.0,0.71,1.0,0.59,0.0,0.0,0.01,0.04,N/A
XGBClassifier,train_test,0.82,0.75,0.07,0.73,0.62,0.11,NON,0.71,0.61,0.81,0.66,,,,,"[[146, 39], [17, 19]]"
XGBClassifier,cross_validation,0.89,0.85,0.04,0.72,0.62,0.1,NON,0.86,0.72,0.67,0.6,0.0,0.02,0.01,0.03,N/A
CatBoostClassifier,train_test,0.87,0.76,0.11,0.81,0.61,0.2,OUI,0.77,0.6,0.89,0.62,,,,,"[[153, 32], [21, 15]]"
CatBoostClassifier,cross_validation,0.9,0.85,0.05,0.75,0.61,0.14,OUI,0.92,0.72,0.7,0.59,0.0,0.01,0.01,0.05,N/A
