model,method,train_accuracy,test_accuracy,accuracy_gap,train_f1_macro,test_f1_macro,f1_gap,overfitting
DummyClassifier,train_test,0.16,0.16,0.0,0.14,0.14,0.0,NON
DummyClassifier,cross_validation,0.84,0.84,0.0,0.46,0.46,0.0,NON
RandomForestClassifier,train_test,1.0,0.85,0.15,1.0,0.57,0.43,OUI
RandomForestClassifier,cross_validation,1.0,0.85,0.15,1.0,0.58,0.42,OUI
XGBClassifier,train_test,0.61,0.49,0.12,0.57,0.46,0.11,NON
XGBClassifier,cross_validation,0.87,0.76,0.11,0.8,0.63,0.18,OUI
CatBoostClassifier,train_test,0.92,0.81,0.11,0.87,0.65,0.21,OUI
CatBoostClassifier,cross_validation,0.92,0.85,0.07,0.81,0.63,0.18,OUI
