model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_colsample_bytree,param_learning_rate,param_reg_alpha,param_reg_lambda,param_subsample,param_depth,param_iterations,param_l2_leaf_reg
DummyClassifier,0.003321552276611328,0.005354541996680452,0.0016484260559082031,0.000655295275459612,most_frequent,{'strategy': 'most_frequent'},0.45652173913043476,0.45652173913043476,0.45652173913043476,0.4553376906318083,0.45633187772925765,0.45624695715047403,0.00046054153258981347,2,0.45617855198693524,0.45617855198693524,0.45617855198693524,0.45647442872687705,0.456226209896683,0.45624725891687323,0.00011507485432764959,,,,,,,,,,,,,
DummyClassifier,0.0026690483093261717,0.004234760781181629,0.002181673049926758,0.0008610066577635714,stratified,{'strategy': 'stratified'},0.5535714285714286,0.5238095238095238,0.49404761904761907,0.5211997996405315,0.5085526315789474,0.5202362005296101,0.01973465061546902,1,0.4917471882184801,0.50726635804387,0.5189057354129124,0.5039866818540261,0.4995965739821251,0.5043005075022828,0.00896571529658539,,,,,,,,,,,,,
DummyClassifier,0.000614166259765625,3.586309987315913e-05,0.0018698215484619141,5.8654963349678015e-05,uniform,{'strategy': 'uniform'},0.44175824175824174,0.432967032967033,0.44175824175824174,0.3949915824915825,0.390485312899106,0.420392082374841,0.022850624371268315,3,0.45116391879924866,0.43538629018156794,0.44214813101771683,0.43157638048445657,0.44242629044521414,0.4405402021856409,0.00672189001954833,,,,,,,,,,,,,
RandomForestClassifier,0.08762779235839843,0.019209423933715136,0.0057369709014892575,0.0020162823103836583,,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.45652173913043476,0.45652173913043476,0.45652173913043476,0.4553376906318083,0.48172065965736244,0.46132471353609505,0.01020827851170196,350,0.48141645588454096,0.48141645588454096,0.4625998547567175,0.4756256164223266,0.47526436048674214,0.47526454868697365,0.006873380050993255,3,sqrt,1.0,2.0,100.0,,,,,,,,
RandomForestClassifier,0.15207653045654296,0.024317476972011306,0.006537866592407226,0.0026322650983882936,,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.45652173913043476,0.45652173913043476,0.45652173913043476,0.4553376906318083,0.45633187772925765,0.45624695715047403,0.00046054153258981347,365,0.48141645588454096,0.4752174375615076,0.4625998547567175,0.4756256164223266,0.46899285645106886,0.4727704442152323,0.006428131327288054,3,sqrt,1.0,2.0,200.0,,,,,,,,
RandomForestClassifier,0.2555873870849609,0.07387190694769381,0.02924380302429199,0.029695472006399017,,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.45652173913043476,0.45652173913043476,0.45652173913043476,0.4553376906318083,0.45633187772925765,0.45624695715047403,0.00046054153258981347,365,0.46894568796910785,0.48141645588454096,0.4625998547567175,0.46931735657225854,0.4626472682330499,0.4689853246831349,0.0068642556032931954,3,sqrt,1.0,2.0,300.0,,,,,,,,
RandomForestClassifier,0.0958902359008789,0.02193970896177321,0.013022136688232423,0.018288880946998005,,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.45652173913043476,0.45652173913043476,0.45652173913043476,0.4553376906318083,0.45633187772925765,0.45624695715047403,0.00046054153258981347,365,0.48141645588454096,0.48141645588454096,0.4625998547567175,0.4756256164223266,0.47526436048674214,0.47526454868697365,0.006873380050993255,3,sqrt,1.0,5.0,100.0,,,,,,,,
RandomForestClassifier,0.4661106109619141,0.027419069809415247,0.02393956184387207,0.012644648757630352,,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.45652173913043476,0.45652173913043476,0.45652173913043476,0.4553376906318083,0.45633187772925765,0.45624695715047403,0.00046054153258981347,365,0.4752174375615076,0.4752174375615076,0.4625998547567175,0.4756256164223266,0.46899285645106886,0.4715306405506256,0.005102020282620281,3,sqrt,1.0,5.0,200.0,,,,,,,,
RandomForestClassifier,0.6756681442260742,0.026014131265603667,0.02890772819519043,0.009776719612797606,,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.45652173913043476,0.45652173913043476,0.45652173913043476,0.4553376906318083,0.45633187772925765,0.45624695715047403,0.00046054153258981347,365,0.46894568796910785,0.48141645588454096,0.4625998547567175,0.46931735657225854,0.4626472682330499,0.4689853246831349,0.0068642556032931954,3,sqrt,1.0,5.0,300.0,,,,,,,,
RandomForestClassifier,0.23787364959716797,0.03960285927866193,0.008623504638671875,0.005434211650801435,,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.45652173913043476,0.45652173913043476,0.45652173913043476,0.4553376906318083,0.45633187772925765,0.45624695715047403,0.00046054153258981347,365,0.48141645588454096,0.48141645588454096,0.4625998547567175,0.4756256164223266,0.47526436048674214,0.47526454868697365,0.006873380050993255,3,sqrt,1.0,10.0,100.0,,,,,,,,
