model,class,precision,recall,f1-score,support
DummyClassifier,False,0.0,0.0,0.0,185.0
DummyClassifier,True,0.16289592760180996,1.0,0.2801556420233463,36.0
RandomForestClassifier,False,0.8701923076923077,0.9783783783783784,0.9211195928753181,185.0
RandomForestClassifier,True,0.6923076923076923,0.25,0.3673469387755102,36.0
XGBClassifier,False,0.8813559322033898,0.8432432432432433,0.861878453038674,185.0
XGBClassifier,True,0.3409090909090909,0.4166666666666667,0.375,36.0
CatBoostClassifier,False,0.8691099476439791,0.8972972972972973,0.8829787234042553,185.0
CatBoostClassifier,True,0.36666666666666664,0.3055555555555556,0.3333333333333333,36.0
