model,best_score,best_params,n_combinations,time_seconds
DummyClassifier,0.52,{'strategy': 'stratified'},3,2.0
RandomForestClassifier,0.59,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",432,45.0
XGBClassifier,0.64,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 2, 'subsample': 0.8}",972,32.0
CatBoostClassifier,0.63,"{'depth': 4, 'iterations': 300, 'l2_leaf_reg': 5, 'learning_rate': 0.1, 'subsample': 1.0}",162,32.0
