model,parameter,value
DummyClassifier,strategy,stratified
RandomForestClassifier,max_depth,None
RandomForestClassifier,max_features,sqrt
RandomForestClassifier,min_samples_leaf,1
RandomForestClassifier,min_samples_split,2
RandomForestClassifier,n_estimators,100
XGBClassifier,colsample_bytree,1.0
XGBClassifier,learning_rate,0.3
XGBClassifier,max_depth,3
XGBClassifier,n_estimators,100
XGBClassifier,reg_alpha,1
XGBClassifier,reg_lambda,2
XGBClassifier,subsample,1.0
CatBoostClassifier,depth,4
CatBoostClassifier,iterations,200
CatBoostClassifier,l2_leaf_reg,1
CatBoostClassifier,learning_rate,0.1
CatBoostClassifier,subsample,0.8
